time	1-T	2-T	3-T	4-T
2021-12-03T12:03:04.596Z	684	991	39	181
2021-12-03T12:03:24.603Z	628	996	46	171
2021-12-03T12:03:44.613Z	575	999	55	160
2021-12-03T12:04:04.617Z	521	1000	64	150
2021-12-03T12:04:24.631Z	467	1000	73	140
2021-12-03T12:04:44.642Z	412	998	83	131
2021-12-03T12:05:04.654Z	353	994	93	122
2021-12-03T12:05:24.656Z	302	990	105	113
2021-12-03T12:05:44.664Z	254	983	116	104
2021-12-03T12:06:04.665Z	208	976	128	95
2021-12-03T12:06:24.677Z	165	967	141	88
2021-12-03T12:06:44.683Z	127	956	154	80
2021-12-03T12:07:04.684Z	89	943	167	73
2021-12-03T12:07:24.691Z	61	929	182	66
2021-12-03T12:07:44.703Z	37	915	197	58
2021-12-03T12:08:04.703Z	19	899	211	52
2021-12-03T12:08:24.718Z	7	882	226	46
2021-12-03T12:08:44.727Z	1	864	242	41
2021-12-03T12:09:04.728Z	1	842	257	36
2021-12-03T12:09:24.743Z	7	822	275	31
2021-12-03T12:09:44.743Z	19	801	292	26
2021-12-03T12:10:04.750Z	37	778	308	22
2021-12-03T12:10:24.759Z	60	755	325	18
2021-12-03T12:10:44.771Z	89	732	343	14
2021-12-03T12:11:04.782Z	126	704	360	11
2021-12-03T12:11:24.791Z	165	679	379	9
2021-12-03T12:11:44.804Z	207	654	397	6
2021-12-03T12:12:04.806Z	253	627	415	4
2021-12-03T12:12:24.812Z	302	601	433	3
2021-12-03T12:12:44.826Z	359	574	451	1
2021-12-03T12:13:04.836Z	412	544	469	1
2021-12-03T12:13:24.837Z	466	517	489	0
2021-12-03T12:13:44.838Z	520	489	507	0
2021-12-03T12:14:04.839Z	575	462	526	0
2021-12-03T12:14:24.840Z	628	435	544	1
2021-12-03T12:14:44.854Z	686	408	562	2
2021-12-03T12:15:04.862Z	735	378	580	4
2021-12-03T12:15:24.875Z	782	352	600	5
2021-12-03T12:15:44.889Z	825	326	617	8
2021-12-03T12:16:04.898Z	865	301	635	11
2021-12-03T12:16:24.913Z	900	276	652	13
2021-12-03T12:16:44.916Z	933	252	670	17
2021-12-03T12:17:04.918Z	958	226	687	21
2021-12-03T12:17:24.927Z	977	204	705	25
2021-12-03T12:17:44.938Z	990	182	722	29
2021-12-03T12:18:04.951Z	998	162	738	34
2021-12-03T12:18:24.965Z	1000	142	754	39
2021-12-03T12:18:44.977Z	995	124	769	45
2021-12-03T12:19:04.984Z	984	105	784	51
2021-12-03T12:19:24.995Z	968	88	801	57
2021-12-03T12:19:45.010Z	946	73	815	64
2021-12-03T12:20:05.012Z	918	60	829	71
2021-12-03T12:20:25.013Z	886	48	842	78
2021-12-03T12:20:45.027Z	845	37	855	86
2021-12-03T12:21:05.030Z	803	26	868	93
2021-12-03T12:21:25.042Z	758	18	881	101
2021-12-03T12:21:45.055Z	710	12	893	111
2021-12-03T12:22:05.064Z	659	6	904	119
2021-12-03T12:22:25.073Z	607	3	914	128
2021-12-03T12:22:45.081Z	547	1	924	138
2021-12-03T12:23:05.081Z	492	0	934	147
2021-12-03T12:23:25.087Z	438	1	943	157
2021-12-03T12:23:45.098Z	384	3	951	168
2021-12-03T12:24:05.099Z	332	7	959	179
2021-12-03T12:24:25.101Z	282	13	966	189
2021-12-03T12:24:45.107Z	229	20	972	200
2021-12-03T12:25:05.122Z	185	29	978	211
2021-12-03T12:25:25.131Z	144	39	983	222
2021-12-03T12:25:45.135Z	108	50	988	235
2021-12-03T12:26:05.135Z	77	63	991	247
2021-12-03T12:26:25.142Z	50	76	994	258
2021-12-03T12:26:45.148Z	27	92	997	270
2021-12-03T12:27:05.157Z	12	110	999	283
2021-12-03T12:27:25.170Z	3	127	1000	296
2021-12-03T12:27:45.172Z	0	146	1000	308
2021-12-03T12:28:05.179Z	3	167	1000	321
2021-12-03T12:28:25.194Z	12	188	999	335
2021-12-03T12:28:45.204Z	27	210	997	348
2021-12-03T12:29:05.211Z	47	232	995	361
2021-12-03T12:29:25.227Z	76	255	992	374
2021-12-03T12:29:45.229Z	107	282	988	387
2021-12-03T12:30:05.234Z	143	307	983	401
2021-12-03T12:30:25.237Z	183	332	978	415
2021-12-03T12:30:45.252Z	227	358	973	429
2021-12-03T12:31:05.258Z	279	384	966	442
2021-12-03T12:31:25.271Z	329	414	959	456
2021-12-03T12:31:45.285Z	381	441	951	471
2021-12-03T12:32:05.297Z	435	468	943	484
2021-12-03T12:32:25.306Z	489	495	935	498
2021-12-03T12:32:45.319Z	549	522	925	512
2021-12-03T12:33:05.323Z	603	552	914	525
2021-12-03T12:33:25.323Z	655	579	904	540
2021-12-03T12:33:45.326Z	706	606	893	554
2021-12-03T12:34:05.331Z	759	632	882	567
2021-12-03T12:34:25.336Z	804	661	869	580
2021-12-03T12:34:45.346Z	845	686	856	595
2021-12-03T12:35:05.360Z	882	711	843	609
2021-12-03T12:35:25.369Z	915	735	830	622
2021-12-03T12:35:45.384Z	946	759	816	635
2021-12-03T12:36:05.389Z	967	784	800	648
2021-12-03T12:36:25.398Z	984	806	785	662
2021-12-03T12:36:45.402Z	995	827	770	675
2021-12-03T12:37:05.411Z	1000	847	755	688
2021-12-03T12:37:25.418Z	998	866	739	700
2021-12-03T12:37:45.429Z	991	886	721	713
2021-12-03T12:38:05.432Z	977	903	705	726
2021-12-03T12:38:25.434Z	958	918	688	738
2021-12-03T12:38:45.442Z	934	933	671	750
2021-12-03T12:39:05.443Z	901	947	654	762
2021-12-03T12:39:25.451Z	867	958	635	773
2021-12-03T12:39:45.460Z	828	969	617	786
2021-12-03T12:40:05.461Z	785	977	600	797
2021-12-03T12:40:25.465Z	733	985	582	807
2021-12-03T12:40:45.469Z	684	991	564	818
2021-12-03T12:41:05.472Z	632	996	544	830
2021-12-03T12:41:25.476Z	579	998	526	840
2021-12-03T12:41:45.485Z	525	1000	508	850
2021-12-03T12:42:05.495Z	465	1000	490	859
2021-12-03T12:42:25.507Z	411	998	470	868
2021-12-03T12:42:45.508Z	359	995	452	878
2021-12-03T12:43:05.511Z	307	990	434	887
2021-12-03T12:43:25.511Z	258	984	416	896
2021-12-03T12:43:45.513Z	208	976	398	904
2021-12-03T12:44:05.520Z	165	967	378	912
2021-12-03T12:44:25.520Z	127	956	361	920
2021-12-03T12:44:45.522Z	93	944	344	927
2021-12-03T12:45:05.535Z	61	931	327	934
2021-12-03T12:45:25.543Z	38	915	310	941
2021-12-03T12:45:45.545Z	20	899	291	947
2021-12-03T12:46:05.558Z	8	883	275	953
2021-12-03T12:46:25.570Z	1	865	259	959
2021-12-03T12:46:45.572Z	1	845	243	964
2021-12-03T12:47:05.581Z	7	823	228	969
2021-12-03T12:47:25.592Z	19	802	211	974
2021-12-03T12:47:45.606Z	36	780	197	978
2021-12-03T12:48:05.611Z	59	757	182	982
2021-12-03T12:48:25.620Z	91	733	169	985
2021-12-03T12:48:45.635Z	124	706	155	989
2021-12-03T12:49:05.646Z	163	681	141	991
2021-12-03T12:49:25.649Z	205	655	128	994
2021-12-03T12:49:45.663Z	250	629	117	996
2021-12-03T12:50:05.667Z	299	602	105	997
2021-12-03T12:50:25.678Z	356	575	94	999
2021-12-03T12:50:45.679Z	409	545	84	999
2021-12-03T12:51:05.684Z	463	518	73	1000
2021-12-03T12:51:25.695Z	518	491	64	1000
2021-12-03T12:51:45.710Z	572	463	55	1000
2021-12-03T12:52:05.723Z	626	436	47	999
2021-12-03T12:52:25.734Z	678	409	40	998
2021-12-03T12:52:45.742Z	733	380	33	996
2021-12-03T12:53:05.746Z	780	353	26	995
2021-12-03T12:53:25.748Z	823	328	21	992
2021-12-03T12:53:45.749Z	863	302	16	990
2021-12-03T12:54:05.758Z	898	277	12	987
2021-12-03T12:54:25.759Z	929	253	8	983
2021-12-03T12:54:45.766Z	957	228	5	980
2021-12-03T12:55:05.767Z	976	205	3	976
2021-12-03T12:55:25.782Z	990	184	1	971
2021-12-03T12:55:45.787Z	998	163	0	966
2021-12-03T12:56:05.798Z	1000	143	0	961
2021-12-03T12:56:25.811Z	995	123	0	956
2021-12-03T12:56:45.817Z	985	106	2	950
2021-12-03T12:57:05.828Z	969	89	4	943
2021-12-03T12:57:25.839Z	947	75	6	936
2021-12-03T12:57:45.848Z	921	61	9	930
2021-12-03T12:58:05.852Z	885	49	13	923
2021-12-03T12:58:25.860Z	848	36	17	915
2021-12-03T12:58:45.870Z	806	27	23	907
2021-12-03T12:59:05.873Z	761	19	29	898
2021-12-03T12:59:25.887Z	713	12	35	890
2021-12-03T12:59:45.900Z	663	7	42	881
2021-12-03T13:00:05.905Z	605	3	50	872
2021-12-03T13:00:25.915Z	551	1	58	863
2021-12-03T13:00:45.919Z	497	0	68	853
2021-12-03T13:01:05.931Z	443	1	77	843
2021-12-03T13:01:25.946Z	389	3	87	833
2021-12-03T13:01:45.949Z	331	7	98	823
2021-12-03T13:02:05.951Z	281	13	110	812
2021-12-03T13:02:25.959Z	234	20	121	800
2021-12-03T13:02:45.970Z	190	28	133	789
2021-12-03T13:03:05.978Z	145	38	146	778
2021-12-03T13:03:25.978Z	109	50	159	767
2021-12-03T13:03:45.983Z	77	62	174	754
2021-12-03T13:04:05.998Z	51	76	188	742
2021-12-03T13:04:26.005Z	30	91	202	730
2021-12-03T13:04:46.019Z	13	107	217	718
2021-12-03T13:05:06.026Z	3	127	232	706
2021-12-03T13:05:26.027Z	0	145	249	693
2021-12-03T13:05:46.027Z	3	165	265	679
2021-12-03T13:06:06.038Z	11	186	282	666
2021-12-03T13:06:26.043Z	25	208	298	653
2021-12-03T13:06:46.057Z	48	230	315	640
2021-12-03T13:07:06.060Z	74	256	332	627
2021-12-03T13:07:26.064Z	105	280	351	612
2021-12-03T13:07:46.072Z	140	305	368	599
2021-12-03T13:08:06.080Z	180	330	386	586
2021-12-03T13:08:26.081Z	229	356	404	572
2021-12-03T13:08:46.086Z	276	385	423	559
2021-12-03T13:09:06.087Z	325	412	441	544
2021-12-03T13:09:26.101Z	376	438	459	531
2021-12-03T13:09:46.112Z	435	468	477	517
2021-12-03T13:10:06.124Z	488	495	497	502
2021-12-03T13:10:26.124Z	542	521	515	489
2021-12-03T13:10:46.133Z	601	548	533	475
2021-12-03T13:11:06.146Z	653	578	552	461
2021-12-03T13:11:26.152Z	703	604	570	447
2021-12-03T13:11:46.159Z	756	631	588	434
2021-12-03T13:12:06.174Z	801	659	607	420
2021-12-03T13:12:26.175Z	842	684	625	406
2021-12-03T13:12:46.187Z	879	709	642	393
2021-12-03T13:13:06.196Z	915	736	659	380
2021-12-03T13:13:26.212Z	943	759	678	365
2021-12-03T13:13:46.222Z	965	782	694	352
2021-12-03T13:14:06.235Z	984	806	712	340
2021-12-03T13:14:26.239Z	994	826	729	326
2021-12-03T13:14:46.251Z	1000	846	744	313
2021-12-03T13:15:06.261Z	998	865	760	300
2021-12-03T13:15:26.265Z	991	885	777	288
2021-12-03T13:15:46.279Z	978	902	792	274
2021-12-03T13:16:06.282Z	960	918	806	262
2021-12-03T13:16:26.296Z	935	932	821	250
2021-12-03T13:16:46.307Z	906	945	834	239
2021-12-03T13:17:06.310Z	868	957	848	227
2021-12-03T13:17:26.311Z	828	968	862	216
2021-12-03T13:17:46.312Z	785	977	874	203
2021-12-03T13:18:06.325Z	739	985	886	193
2021-12-03T13:18:26.333Z	690	991	897	182
2021-12-03T13:18:46.342Z	633	995	908	172
2021-12-03T13:19:06.349Z	579	998	918	161
2021-12-03T13:19:26.363Z	525	1000	929	152
2021-12-03T13:19:46.370Z	471	1000	938	141
2021-12-03T13:20:06.381Z	417	998	947	131
2021-12-03T13:20:26.384Z	363	995	954	122
2021-12-03T13:20:46.393Z	306	991	962	114
2021-12-03T13:21:06.402Z	257	984	968	105
2021-12-03T13:21:26.416Z	211	976	975	97
2021-12-03T13:21:46.417Z	168	967	980	88
2021-12-03T13:22:06.419Z	130	957	985	81
2021-12-03T13:22:26.426Z	95	945	989	73
2021-12-03T13:22:46.427Z	63	932	993	66
2021-12-03T13:23:06.431Z	39	916	995	60
2021-12-03T13:23:26.435Z	21	900	998	53
2021-12-03T13:23:46.445Z	8	883	999	47
2021-12-03T13:24:06.447Z	1	865	1000	41
2021-12-03T13:24:26.462Z	0	846	1000	36
2021-12-03T13:24:46.461Z	6	826	999	31
2021-12-03T13:25:06.463Z	18	802	998	26
2021-12-03T13:25:26.463Z	36	780	996	22
2021-12-03T13:25:46.477Z	58	757	993	18
2021-12-03T13:26:06.485Z	87	734	990	15
2021-12-03T13:26:26.497Z	120	709	986	11
2021-12-03T13:26:46.501Z	162	684	981	9
2021-12-03T13:27:06.504Z	204	655	976	6
2021-12-03T13:27:26.517Z	250	629	970	4
2021-12-03T13:27:46.525Z	298	603	963	3
2021-12-03T13:28:06.530Z	349	576	956	1
2021-12-03T13:28:26.534Z	402	549	948	1
2021-12-03T13:28:46.549Z	462	522	940	0
2021-12-03T13:29:06.563Z	517	491	931	0
2021-12-03T13:29:26.570Z	571	464	920	0
2021-12-03T13:29:46.579Z	624	437	910	1
2021-12-03T13:30:06.587Z	676	410	900	2
2021-12-03T13:30:26.589Z	726	383	888	4
2021-12-03T13:30:46.599Z	774	357	877	5
2021-12-03T13:31:06.606Z	822	328	864	7
2021-12-03T13:31:26.619Z	862	303	850	10
2021-12-03T13:31:46.624Z	897	278	837	13
2021-12-03T13:32:06.631Z	928	254	823	17
2021-12-03T13:32:26.633Z	954	230	809	20
2021-12-03T13:32:46.646Z	976	208	795	24
2021-12-03T13:33:06.652Z	990	184	780	29
2021-12-03T13:33:26.666Z	998	163	763	33
2021-12-03T13:33:46.674Z	1000	144	747	39
2021-12-03T13:34:06.678Z	996	125	731	44
2021-12-03T13:34:26.687Z	987	108	715	50
2021-12-03T13:34:46.700Z	969	91	699	56
2021-12-03T13:35:06.710Z	947	75	682	63
2021-12-03T13:35:26.714Z	920	61	663	70
2021-12-03T13:35:46.721Z	888	48	646	78
2021-12-03T13:36:06.735Z	852	37	628	85
2021-12-03T13:36:26.748Z	811	28	611	93
2021-12-03T13:36:46.748Z	762	19	593	101
2021-12-03T13:37:06.751Z	714	12	573	109
2021-12-03T13:37:26.758Z	664	7	555	119
2021-12-03T13:37:46.765Z	612	3	537	128
2021-12-03T13:38:06.775Z	558	1	519	137
2021-12-03T13:38:26.788Z	498	0	501	146
2021-12-03T13:38:46.802Z	444	1	481	156
2021-12-03T13:39:06.815Z	390	3	463	167
2021-12-03T13:39:26.826Z	338	7	445	177
2021-12-03T13:39:46.829Z	282	12	427	188
2021-12-03T13:40:06.839Z	234	20	409	199
2021-12-03T13:40:26.842Z	190	28	389	210
2021-12-03T13:40:46.844Z	149	37	371	222
2021-12-03T13:41:06.851Z	113	48	354	233
2021-12-03T13:41:26.856Z	81	61	337	245
2021-12-03T13:41:46.860Z	51	76	320	257
2021-12-03T13:42:06.866Z	30	91	301	269
2021-12-03T13:42:26.868Z	14	107	285	282
2021-12-03T13:42:46.868Z	4	125	268	294
2021-12-03T13:43:06.881Z	0	143	252	307
2021-12-03T13:43:26.896Z	3	165	237	320
2021-12-03T13:43:46.899Z	11	186	220	332
2021-12-03T13:44:06.900Z	25	207	205	347
2021-12-03T13:44:26.905Z	45	230	191	360
2021-12-03T13:44:46.912Z	70	253	177	373
2021-12-03T13:45:06.923Z	104	280	163	386
2021-12-03T13:45:26.932Z	139	304	148	399
2021-12-03T13:45:46.947Z	179	330	136	414
2021-12-03T13:46:06.961Z	222	355	124	427
2021-12-03T13:46:26.974Z	269	382	112	441
2021-12-03T13:46:46.988Z	325	408	101	454
2021-12-03T13:47:06.989Z	377	438	90	468
2021-12-03T13:47:27.004Z	430	466	79	483
2021-12-03T13:47:47.019Z	485	493	69	497
2021-12-03T13:48:07.026Z	539	520	60	510
2021-12-03T13:48:27.028Z	593	547	52	524
2021-12-03T13:48:47.030Z	652	577	44	538
2021-12-03T13:49:07.043Z	703	604	36	551
2021-12-03T13:49:27.056Z	751	630	30	566
2021-12-03T13:49:47.055Z	797	657	24	580
2021-12-03T13:50:07.065Z	839	682	19	593
2021-12-03T13:50:27.070Z	881	707	14	606
2021-12-03T13:50:47.085Z	914	734	10	620
2021-12-03T13:51:07.085Z	942	758	7	634
2021-12-03T13:51:27.101Z	965	781	4	647
2021-12-03T13:51:47.109Z	982	803	2	660
2021-12-03T13:52:07.119Z	994	824	1	673
2021-12-03T13:52:27.126Z	1000	847	0	686
2021-12-03T13:52:47.129Z	999	866	0	699
2021-12-03T13:53:07.132Z	992	884	1	712
2021-12-03T13:53:27.133Z	980	901	2	725
2021-12-03T13:53:47.147Z	961	916	4	737
2021-12-03T13:54:07.154Z	935	931	7	749
2021-12-03T13:54:27.165Z	905	945	11	760
2021-12-03T13:54:47.179Z	871	957	15	772
2021-12-03T13:55:07.195Z	832	968	20	784
2021-12-03T13:55:27.197Z	789	977	25	796
2021-12-03T13:55:47.211Z	743	984	31	806
2021-12-03T13:56:07.221Z	689	990	38	817
2021-12-03T13:56:27.235Z	638	995	46	827
2021-12-03T13:56:47.245Z	585	998	54	839
2021-12-03T13:57:07.258Z	531	1000	62	848
2021-12-03T13:57:27.266Z	471	1000	71	858
2021-12-03T13:57:47.272Z	418	998	82	867
2021-12-03T13:58:07.280Z	365	995	92	877
2021-12-03T13:58:27.291Z	313	991	103	886
2021-12-03T13:58:47.290Z	263	985	114	895
2021-12-03T13:59:07.293Z	212	977	126	903
2021-12-03T13:59:27.302Z	169	968	138	911
2021-12-03T13:59:47.308Z	130	957	152	918
2021-12-03T14:00:07.308Z	96	945	166	927
2021-12-03T14:00:27.319Z	66	932	179	934
2021-12-03T14:00:47.325Z	42	918	194	940
2021-12-03T14:01:07.336Z	21	902	208	946
2021-12-03T14:01:27.344Z	8	884	223	952
2021-12-03T14:01:47.345Z	1	866	240	958
2021-12-03T14:02:07.359Z	0	847	256	964
2021-12-03T14:02:27.369Z	5	826	272	969
2021-12-03T14:02:47.377Z	16	805	288	973
2021-12-03T14:03:07.387Z	35	783	305	978
2021-12-03T14:03:27.398Z	58	758	322	982
2021-12-03T14:03:47.412Z	86	734	341	985
2021-12-03T14:04:07.426Z	119	709	358	988
2021-12-03T14:04:27.428Z	157	684	376	991
2021-12-03T14:04:47.442Z	198	659	393	994
2021-12-03T14:05:07.447Z	249	633	411	996
2021-12-03T14:05:27.456Z	297	603	429	997
2021-12-03T14:05:47.456Z	348	576	449	998
2021-12-03T14:06:07.458Z	401	549	468	999
2021-12-03T14:06:27.473Z	455	522	486	1000
2021-12-03T14:06:47.475Z	510	495	504	1000
2021-12-03T14:07:07.483Z	564	467	522	1000
2021-12-03T14:07:27.494Z	624	437	540	999
2021-12-03T14:07:47.506Z	676	410	560	998
2021-12-03T14:08:07.509Z	726	384	578	997
2021-12-03T14:08:27.520Z	773	357	596	995
2021-12-03T14:08:47.524Z	817	331	614	993
2021-12-03T14:09:07.527Z	861	306	632	990
2021-12-03T14:09:27.541Z	897	278	649	987
2021-12-03T14:09:47.548Z	928	254	668	984
2021-12-03T14:10:07.556Z	953	231	685	980
2021-12-03T14:10:27.569Z	974	208	702	976
2021-12-03T14:10:47.581Z	988	186	719	971
2021-12-03T14:11:07.596Z	997	166	735	967
2021-12-03T14:11:27.601Z	1000	144	751	962
2021-12-03T14:11:47.604Z	996	125	768	956
2021-12-03T14:12:07.616Z	987	108	783	950
2021-12-03T14:12:27.619Z	971	91	798	944
2021-12-03T14:12:47.622Z	950	76	812	937
2021-12-03T14:13:07.635Z	921	62	826	930
2021-12-03T14:13:27.648Z	889	49	840	923
2021-12-03T14:13:47.651Z	852	38	854	916
2021-12-03T14:14:07.653Z	811	28	867	907
2021-12-03T14:14:27.659Z	767	20	879	899
2021-12-03T14:14:47.661Z	719	13	891	891
2021-12-03T14:15:07.666Z	669	7	902	882
2021-12-03T14:15:27.682Z	611	3	912	873
2021-12-03T14:15:47.692Z	557	1	924	864
2021-12-03T14:16:07.694Z	502	0	933	854
2021-12-03T14:16:27.707Z	448	1	942	844
2021-12-03T14:16:47.718Z	394	3	950	834
2021-12-03T14:17:07.725Z	341	7	958	823
2021-12-03T14:17:27.727Z	285	12	965	813
2021-12-03T14:17:47.736Z	237	19	971	802
2021-12-03T14:18:07.743Z	193	27	977	790
2021-12-03T14:18:27.750Z	151	37	983	779
2021-12-03T14:18:47.758Z	114	48	987	767
2021-12-03T14:19:07.761Z	82	60	991	756
2021-12-03T14:19:27.769Z	52	74	994	744
2021-12-03T14:19:47.770Z	30	90	996	732
2021-12-03T14:20:07.783Z	14	107	998	720
2021-12-03T14:20:27.791Z	4	124	1000	706
2021-12-03T14:20:47.803Z	0	143	1000	693
2021-12-03T14:21:07.807Z	2	162	1000	681
2021-12-03T14:21:27.822Z	11	183	999	668
2021-12-03T14:21:47.831Z	25	207	997	655
2021-12-03T14:22:07.836Z	45	229	995	642
2021-12-03T14:22:27.838Z	70	253	992	627
2021-12-03T14:22:47.846Z	100	277	988	614
