time	1-SP	1-T	2-T	2-SP
2021-04-13T17:33:36.724Z	1000	1000	139	139
2021-04-13T17:33:56.728Z	994	994	121	120
2021-04-13T17:34:16.736Z	982	983	103	102
2021-04-13T17:34:36.751Z	964	965	87	87
2021-04-13T17:34:56.764Z	943	942	71	72
2021-04-13T17:35:16.772Z	914	912	57	58
2021-04-13T17:35:36.786Z	879	881	46	45
2021-04-13T17:35:56.793Z	840	842	35	34
2021-04-13T17:36:16.794Z	800	798	25	26
2021-04-13T17:36:36.805Z	753	751	17	17
2021-04-13T17:36:56.809Z	702	705	11	11
2021-04-13T17:37:16.815Z	649	652	6	6
2021-04-13T17:37:36.818Z	599	597	2	2
2021-04-13T17:37:56.827Z	543	541	0	0
2021-04-13T17:38:16.842Z	486	484	0	0
2021-04-13T17:38:36.857Z	430	432	1	1
2021-04-13T17:38:56.872Z	374	377	4	4
2021-04-13T17:39:16.876Z	325	323	8	8
2021-04-13T17:39:36.888Z	273	271	14	14
2021-04-13T17:39:56.901Z	224	226	21	21
2021-04-13T17:40:16.911Z	179	181	30	29
2021-04-13T17:40:36.923Z	141	139	40	40
2021-04-13T17:40:56.938Z	104	102	52	52
2021-04-13T17:41:16.948Z	72	73	64	65
2021-04-13T17:41:36.956Z	45	47	79	79
2021-04-13T17:41:56.966Z	25	26	95	94
2021-04-13T17:42:16.966Z	11	11	112	111
2021-04-13T17:42:36.979Z	3	2	130	129
2021-04-13T17:42:56.984Z	0	0	148	149
2021-04-13T17:43:16.994Z	4	4	169	170
2021-04-13T17:43:36.999Z	14	14	191	190
2021-04-13T17:43:57.004Z	29	30	213	212
2021-04-13T17:44:17.015Z	51	52	237	236
2021-04-13T17:44:37.022Z	79	77	259	260
2021-04-13T17:44:57.034Z	112	110	284	286
2021-04-13T17:45:17.035Z	147	148	310	309
2021-04-13T17:45:37.044Z	189	191	337	336
2021-04-13T17:45:57.047Z	235	237	361	363
2021-04-13T17:46:17.060Z	285	283	389	390
2021-04-13T17:46:37.066Z	338	335	417	416
2021-04-13T17:46:57.073Z	387	390	445	444
2021-04-13T17:47:17.079Z	443	446	471	472
2021-04-13T17:47:37.081Z	500	497	499	500
2021-04-13T17:48:17.103Z	607	610	556	554
2021-04-13T17:48:37.110Z	662	664	584	582
2021-04-13T17:48:57.121Z	714	717	609	610
2021-04-13T17:49:17.131Z	764	762	636	638
2021-04-13T17:49:37.133Z	810	808	663	662
2021-04-13T17:49:57.136Z	849	851	690	689
2021-04-13T17:50:17.142Z	888	889	714	715
2021-04-13T17:50:37.147Z	921	919	739	740
2021-04-13T17:50:57.155Z	949	948	764	762
2021-04-13T17:51:17.165Z	969	970	787	786
2021-04-13T17:51:37.176Z	986	986	808	809
2021-04-13T17:51:57.184Z	996	996	830	831
2021-04-13T17:52:17.196Z	1000	1000	851	850
2021-04-13T17:52:37.200Z	998	998	870	869
2021-04-13T17:52:57.201Z	990	989	889	888
2021-04-13T17:53:17.205Z	975	976	904	905
2021-04-13T17:53:37.216Z	954	955	920	921
2021-04-13T17:53:57.223Z	928	929	935	935
2021-04-13T17:54:17.222Z	899	897	948	948
2021-04-13T17:54:37.227Z	862	860	959	960
2021-04-13T17:54:57.227Z	821	823	970	970
2021-04-13T17:55:17.228Z	775	777	979	978
2021-04-13T17:55:37.231Z	731	729	986	986
2021-04-13T17:55:57.234Z	679	677	992	992
2021-04-13T17:56:17.245Z	625	628	996	996
2021-04-13T17:56:37.252Z	570	572	999	999
2021-04-13T17:56:57.254Z	513	516	1000	1000
2021-04-13T17:57:17.259Z	462	459	1000	1000
